,director,runtime,release_year,category,cast1,cast2,cast3,genre
111,Obin Olson|Amariah Olson,88.0,2015,0,Mischa Barton, Luke Goss, Ving Rhames,Thriller
112,Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet,90.0,2015,0,Keir Gilchrist, Pollyanna McIntosh, Samuel Witwer,Horror
113,Robert Budreau,97.0,2015,0,Ethan Hawke, Carmen Ejogo, Callum Keith Rennie,Drama
114,Andrew Mogel|Jarrad Paul,101.0,2015,0,Jack Black, James Marsden, Kathryn Hahn,Drama
115,Justin Trefgarne,96.0,2015,0,Elliot Cowan, Elodie Yung, Jonathan Pryce,Thriller
116,Dan Bush,98.0,2015,0,Conal Byrne, Amy Seimetz, Tim Habeger,Science Fiction
117,David Burris,119.0,2015,0,Haley Joel Osment, Minka Kelly, Noah Wyle,Drama
118,T.C. Christensen,94.0,2015,0,Nathan Stevens, Jasen Wade, Caitlin E.J. Meyer,Mystery
119,Diane Bell,80.0,2015,0,Zosia Mamet, Jessica Biel, Joe Anderson,Drama
121,Kent Moran,95.0,2015,0,Kent Moran, Michael Clarke Duncan, S. Epatha Merkerson,Action
122,Crystal Moselle,89.0,2015,0,Bhagavan Angulo, Govinda Angulo, Jagadisa Angulo,Documentary
124,Martin Scorsese,16.0,2015,0,Leonardo DiCaprio, Brad Pitt, Robert De Niro,Comedy
125,Alex Pillai,90.0,2015,0,Rafe Spall, Cara Theobold, Tom Ward,Drama
126,Bryan Bockbrader,79.0,2015,0,Maiara Walsh, Tony Todd, Danny Trejo,Crime
128,Spike Brandt|Tony Cervone,52.0,2015,0,Jeff Bergman, Kevin Michael Richardson, Tress MacNeille,Animation
129,Paul Thomas Anderson,54.0,2015,0,Shye Ben Tzur, Ehtisham Khan Ajmeri, Gufran Ali,Music
130,Nick Lyon,90.0,2015,0,Chris Schellenger, Katy Reece, Austin Scott,Horror
131,Kristin Hanggi,89.0,2015,0,Victoria Justice, Pierson Fode, Matthew Daddario,Comedy
132,Basel Owies,95.0,2015,0,Scott Glenn, Stephen Tobolowsky, Kristen Hager,Thriller
133,Adam Green,98.0,2015,0,Ray Wise, Adam Green, Kane Hodder,Thriller
134,Sonny Mallhi,91.0,2015,0,Ryan Simpkins, Annika Marks, Karina Logue,Horror
135,Bobcat Goldthwait,106.0,2015,0,Barry Crimmins, David Cross, Patton Oswalt,Documentary
136,Peter Sullivan,87.0,2015,0,Barry Watson, Esm̩ Bianco, Gavin Lewis,Horror
138,Jorge Michel Grau,95.0,2015,0,Bella Thorne, Kyra Sedgwick, Frank Grillo,Thriller
139,Khoa L̻,120.0,2015,0,David Henrie, Thomas Ian Nicholas, Jon Heder,Drama
141,Eric Schaeffer,95.0,2015,0,Michael Welch, Michelle Hendley, Alexandra Turshen,Drama
142,Joel Gallen,85.0,2015,0,Kevin Hart, Justin Bieber, Will Ferrell,Comedy
143,Brian James O'Connell,84.0,2015,0,Fran Kranz, Pedro Pascal, Joey Kern,Comedy
144,Craig Viveiros,168.0,2015,0,Maeve Dermody, Aidan Turner, Charles Dance,Mystery
146,Gabriel Cowan,90.0,2015,0,Amber Tamblyn, Wes Bentley, Vincent Piazza,Drama
147,Aaron Keeling|Austin Keeling,111.0,2015,0,Emily Goss, Taylor Bottles, Cathy Barnett,Drama
148,Don Argott|Sheena M. Joyce,96.0,2015,0,Adam Pally, Sarah Burns, Reid Scott,Romance
149,Rory Karpf,90.0,2015,0,Rob Lowe, Ken Jeong, Verne Troyer,Documentary
152,Tim Kinzy|Andrew Seklir,93.0,2015,0,Tim McVey, Dwayne Richard, Tom Asaki,Documentary
153,Owen Harris,90.0,2015,0,Daniel Radcliffe, Bill Paxton, Joe Dempsie,Drama
154,Joel Potrykus,97.0,2015,0,Joshua Burge, Joel Potrykus, Teri Ann Nelson,Horror
156,Felix Thompson,81.0,2015,0,Charlie Plummer, Cory Nichols, Christian Madsen,Drama
157,Derick Martini,89.0,2015,0,Bella Heathcote, Lucas Till, Helen Slater,Thriller
158,Andrew Jarecki,240.0,2015,0,Robert Durst, Andrew Jarecki, Marc Smerling,Documentary
